"Gene.symbol"	"logFC"	"P.Value"
"DISP3"	0.0772395441039957	0.156444901474637
"FBXO2"	0.00402776489591908	0.857727020965084
"FBXO44"	-0.0190418633064334	0.238653004449829
"FBXO6"	0.0129106604025083	0.685977492908593
"MAD2L2"	0.013571993734094	0.615101346126718
"DRAXIN"	-0.0615377596320327	0.409442229750003
"AGTRAP"	0.023763978502696	0.578079285838218
"MTHFR"	0.0106030327301303	0.530499641468133
"CLCN6"	0.00416017736435597	0.779839596971486
"NPPA"	-0.188389680424204	0.0386375024136199
"RNU5E-1"	-0.130822634045615	0.426916511790904
"RNU5E-4P"	0.186556406089618	0.338411650965973
"KIAA2013"	-0.000349233034569515	0.985465614535053
"PLOD1"	0.0377827642795924	0.205697422863593
"MFN2"	0.0219805306263942	0.0720793782614851
"MIIP"	-0.0337384484397958	0.221071750331612
"TNFRSF1B"	-0.0780982066082767	0.286567351106845
"MIR4632"	-0.181429968236116	0.263112133032081
"VPS13D"	0.0305413027295466	0.0288572452246479
"SNORA59A"	0.16037841687331	0.0875291590088078
"RP5-888M10.2"	-0.450656228957453	0.00733911413761592
"DHRS3"	-0.00603551720844681	0.877293555239463
"RNU6ATAC18P"	-0.210267577759625	0.270240993085322
"MIR6730"	0.0860874938392819	0.622520823917163
"RP11-474O21.5"	-0.017051056690951	0.892940743059025
"LRRC38"	-0.181559786683876	0.0446823750154616
"PDPN"	-0.0818718691619479	0.282695832853601
"PRDM2"	0.00817399271175322	0.682903626314243
"KAZN"	0.0389191210733175	0.0428514708163774
"TMEM51-AS1"	0.0494411542790018	0.34668825162537
"TMEM51"	0.00511560266143427	0.90877657813417
"FHAD1"	0.153661578214623	0.0370302801282731
"EFHD2"	-0.0019145779087704	0.963698584545021
"CASP9"	-0.00151108857547567	0.947657860164712
"DNAJC16"	0.0058435197487763	0.660689313460915
"SCARNA21"	-0.0486609016920133	0.751311397181536
"RP4-680D5.8"	0.139777188910337	0.410911062471018
"AGMAT"	-0.0156702936077142	0.73900817860077
"CHCHD2P6"	0.0184043116590126	0.864438307607539
"DDI2"	0.00422590267206202	0.80445314604082
"PLEKHM2"	0.0468291430135934	0.0181374520189382
"SLC25A34"	0.0407406554652654	0.464580865541122
"FBLIM1"	-0.0472963042381896	0.569604948801222
"UQCRHL"	0.00287924656282997	0.9347388104998
"FLJ37453"	0.00924983875934668	0.791957250380684
"SPEN"	0.0525909441829102	0.0174730400446061
"ZBTB17"	-0.00239808854024419	0.907035471288307
"C1orf64"	0.0493684243577923	0.552734845317415
"HSPB7"	0.113747153382552	0.274917010871421
"RP11-5P18.10"	0.150646743493019	0.194385370956668
"FAM131C"	0.0697646683906028	0.18794675053884
"EPHA2"	0.114405685044895	0.216202033028407
"ARHGEF19"	-0.0443505486540125	0.590600819911016
"ANO7P1"	-0.0682151155049011	0.389878945563432
"RSG1"	0.0173349648751114	0.527233708933818
"MT1XP1"	-0.11206606404727	0.447140658447811
"FBXO42"	-0.0169817223452425	0.24146841795637
"SZRD1"	0.0259499348161145	0.200680502461815
"NECAP2"	-0.0168635954014894	0.555673473780328
"RP4-798A10.2"	0.00186974248937972	0.980721096642732
"CROCCP3"	0.0284188796664229	0.214163426053923
"RNU1-1"	-0.0155854926663107	0.935850961795027
"RP4-798A10.7"	0.0146012552989395	0.907071212650267
"RP5-875O13.1"	-0.128859059285324	0.384253706347971
"NBPF1"	0.0775496164950908	0.150261830297932
"CROCCP2"	0.0574538793193411	0.269484854933262
"MST1P2"	-0.0129202063954908	0.865683914818415
"RNU1-3"	0.0737799534339411	0.731250285105996
"EIF1AXP1"	0.0688816205803668	0.0152622516612069
"CROCC"	0.0431048148357988	0.295045410716362
"RNU1-4"	0.109375073104854	0.435360411888244
"RP11-108M9.4"	0.0714211867601677	0.459640544187879
"RNU1-2"	-0.0540426871753792	0.812443894333079
"RP11-108M9.6"	-0.399464556817483	0.0242977420821269
"ATP13A2"	-0.0127534797740854	0.510270071592351
"SDHB"	-0.00110241739637016	0.939360790250071
"PADI2"	-0.0262297216607441	0.625440078993656
"RCC2"	-0.0471036179528795	0.0284892949714452
"ARHGEF10L"	0.00430378822210833	0.820857594407242
"IGSF21"	-0.0151539339161846	0.605384061909001
"RP11-174G17.3"	-0.0703951910498578	0.179654952939056
"PAX7"	0.00342631310643021	0.965431767780773
"ALDH4A1"	0.114473311831637	0.00195243558745596
"MIR1290"	-0.222089590268739	0.196607615844395
"IFFO2"	0.0153797561939475	0.646329591697614
"RP5-1126H10.2"	0.0222530996520253	0.692337570481058
"UBR4"	0.0225591277697273	0.070711707935499
"RP1-43E13.2"	-0.0392790722614992	0.600066694739975
"EMC1"	-0.0188600475735008	0.150604275009289
"MRTO4"	-0.00311005647098419	0.888126345355657
"AKR7L"	-0.0136934215769217	0.800368522157295
"AKR7A3"	-0.108686413674535	0.0132965695172014
"AKR7A2"	0.0047714836329398	0.810768696314169
"RNU6-1099P"	0.131835886091099	0.348596583163645
"PQLC2"	-0.0335188136242327	0.200706853517236
"CAPZB"	-0.00900325848362966	0.624837534882045
"RNU4-28P"	0.121351183815798	0.477074478957861
"RP5-1056L3.1"	0.0407055236490846	0.834748537955376
"MINOS1"	0.0329138042645729	0.114305447761471
"RP5-1056L3.3"	-0.0476728969617918	0.554216599017703
