"Gene.symbol"	"logFC"	"P.Value"
"ICMT"	-0.00550227577354003	0.794963415197459
"GPR153"	0.0362088509674752	0.410562595425408
"ACOT7"	0.00670109733727071	0.734106828352712
"RP1-202O8.3"	-0.140901390486466	0.278840821872329
"TNFRSF25"	-0.0541149065907158	0.218930556773848
"PLEKHG5"	-0.0388484100029362	0.217521114379042
"NOL9"	-0.0212549961356228	0.246758629834407
"ZBTB48"	-0.042489196800788	0.0900480402441605
"KLHL21"	0.0142743326784779	0.551659208477616
"PHF13"	0.0111750007086976	0.76563846886528
"THAP3"	-0.024400636536385	0.328380988106259
"DNAJC11"	-0.0154914624917675	0.313150298808262
"RP11-312B8.1"	0.0241512342284047	0.853037827693004
"CAMTA1"	0.00693301283257159	0.651367475193421
"RNU1-8P"	0.129401506895421	0.482001311588759
"CAMTA1-IT1"	0.0113211898761158	0.899014548623338
"RP11-338N10.1"	0.2613516013607	0.0198852269075502
"RP11-338N10.2"	0.165786577602952	0.188319384937446
"RP11-338N10.3"	0.102164837751836	0.380424744651835
"VAMP3"	0.022665665065965	0.3964307675903
"RP3-467L1.6"	0.0964212304579532	0.154793071356116
"PER3"	-0.0632206451010025	0.107462460441892
"PARK7"	0.0265164315248831	0.055715771472161
"ERRFI1"	0.0323234848978251	0.283894657042805
"SLC45A1"	0.00035925667835516	0.986493159075621
"Y_RNA"	-0.0678679744554337	0.708774823846146
"RERE"	0.00136791328517555	0.932281145221057
"SNORA77"	-0.155261735728986	0.225183021898464
"RPL7P7"	-0.00517519981204739	0.945826563966604
"Y_RNA"	0.0220388340255356	0.868982288822332
"RP4-633I8.4"	0.0840263266940485	0.324888494998606
"ENO1"	0.0224091841757509	0.189937764279568
"MIR6728"	0.0288898214961724	0.862943918910796
"ENO1-IT1"	-0.0204291343016356	0.821352001466352
"ENO1-AS1"	-0.14330877712406	0.367410770292682
"SLC2A5"	0.0829161979388909	0.402759116082667
"MIR34A"	0.0471850498689476	0.357444762665982
"RP3-510D11.4"	0.146808447640249	0.0585288000266028
"H6PD"	-0.0124871847950591	0.664887569759081
"SPSB1"	0.036671541779106	0.517579581757415
"SLC25A33"	-0.0734515873859115	0.0177274369927067
"RP13-15M17.1"	-0.0860566611908169	0.38669646433799
"TMEM201"	0.00691895930762198	0.747691483965696
"PIK3CD"	0.0215095155481062	0.537256776971762
"CLSTN1"	0.0253320569580781	0.186391514633265
"CTNNBIP1"	0.00123793421170635	0.953580911575937
"RP11-84A14.5"	-0.010185369015194	0.953458929308984
"LZIC"	0.0146690179243287	0.370405906653124
"RP11-84A14.4"	-0.0530490850427614	0.695877511277933
"NMNAT1"	0.0259635953327509	0.238252420548101
"RN7SKP269"	-0.132549557917323	0.366295135825288
"MIR5697"	-0.202717135372805	0.278666828111603
"RBP7"	0.0963409259962799	0.356170295480182
"UBE4B"	0.014538138332389	0.234843724438266
"PGAM1P11"	0.0614335155452645	0.56171258034791
"RNU6-828P"	0.296250891648508	0.0252373678537144
"KIF1B"	0.0388902861850779	0.0190432373369137
"MIR1273D"	-0.124638772248631	0.490756945738509
"RNU6-37P"	-0.0495622477316888	0.573451543269853
"PGD"	0.0403229560116502	0.0779366831544273
"APITD1"	0.0770829409061813	0.281219412714442
"CORT"	-0.193307966830826	0.00513194823982458
"DFFA"	-0.0125336721665929	0.508344746760027
"PEX14"	-0.00261294399948228	0.876007323284045
"RN7SL614P"	-0.251788111899468	0.0998378120380042
"TARDBP"	0.0311187081809924	0.137878685921038
"RP4-635E18.8"	-0.0181145642961284	0.679983581948692
"SRM"	-0.0184337576234812	0.385298057286959
"EXOSC10"	-0.0140368465778702	0.495791241547554
"RP4-635E18.7"	0.0474243757273886	0.628309271971058
"RP4-635E18.6"	-0.0227779233690325	0.836861165666374
"MTOR"	0.0133980219107551	0.325209805290129
"UBIAD1"	-0.0141734944687472	0.51156574903377
"DISP3"	0.0624515583420599	0.249867001842315
"FBXO2"	0.0128058692616649	0.583854519071239
"FBXO44"	0.0120296103201888	0.437283971243311
"FBXO6"	0.0360096502271768	0.271014336149045
"MAD2L2"	0.0146956413301606	0.601181085462394
"DRAXIN"	0.0854830608107525	0.325759657301045
"AGTRAP"	0.0243557505210669	0.584302540086057
"MTHFR"	-0.00559288600379598	0.751687907670829
"CLCN6"	0.00812245327127829	0.595323635226394
"NPPA"	-0.292232956544036	0.000529731892866152
"RNU5E-1"	-0.256689182817231	0.14471049661582
"RNU5E-4P"	0.479612419406352	0.0254253402140885
"KIAA2013"	0.0175549559417358	0.352918424414414
"PLOD1"	0.0415332290156004	0.188262111634543
"MFN2"	0.0177607661647276	0.120833717036782
"MIIP"	-0.0288861374416893	0.325800056117637
"TNFRSF1B"	0.0426008211786282	0.534849627883753
"MIR4632"	0.00797767613671375	0.960238533847136
"VPS13D"	0.0251951991596359	0.120862315877944
"SNORA59A"	-0.0503254056651835	0.597104574441556
"RP5-888M10.2"	0.057496539026899	0.750201289688792
"DHRS3"	0.0303061105115774	0.426806505329696
"RNU6ATAC18P"	-0.420435841800887	0.0217195419001105
"MIR6730"	0.118394445523388	0.490777004278408
"RP11-474O21.5"	-0.0507924326236655	0.685520478501949
"LRRC38"	0.00791776086929284	0.925605404739813
"PDPN"	-0.00825248710101677	0.906274124119483
"PRDM2"	-0.00563391391651865	0.793447090919366
"KAZN"	0.023335053569234	0.237403591788491
"TMEM51-AS1"	0.0429079259455548	0.34478396523504
"TMEM51"	0.0367081528767377	0.426870359527103
"FHAD1"	0.0704382132074124	0.346354460623797
"EFHD2"	0.00828137319893777	0.837106425060557
"CASP9"	-0.0105424916464854	0.650638516742983
"DNAJC16"	-0.00746981444496647	0.632453138724669
"SCARNA21"	0.166021756125739	0.336964475396649
"RP4-680D5.8"	-0.241007159627016	0.171940582900342
"AGMAT"	0.0464418301027185	0.295861887754746
"CHCHD2P6"	-0.0555405170144478	0.633956578442066
"DDI2"	-0.000742898043568447	0.966662698963165
"PLEKHM2"	0.0164205279722234	0.483103354443132
"SLC25A34"	-0.00964387132525738	0.877453326781025
"FBLIM1"	-0.108593927845085	0.161127596846729
"UQCRHL"	0.0160172551312871	0.653234885908027
"FLJ37453"	-0.0166661129080155	0.653164443047165
"SPEN"	-0.000111211623219515	0.996160728861343
"ZBTB17"	-0.0456838363332688	0.0287770840781169
"C1orf64"	0.0315064799268629	0.700753623056785
"HSPB7"	-0.130490593387682	0.221901438537397
"RP11-5P18.10"	-0.0254324863934447	0.827653847507064
"FAM131C"	-0.00664144933380057	0.902560142245136
"EPHA2"	0.0934938177148827	0.324335299856355
"ARHGEF19"	0.0150293273673935	0.867862244025775
"ANO7P1"	0.103963779792765	0.276165554101605
"RSG1"	0.0431194305416048	0.20800898430455
"MT1XP1"	0.116229961781534	0.448120592747926
"FBXO42"	-0.012521157032985	0.406857450475617
"SZRD1"	-0.0139545669183406	0.522128286875557
